unit_id,institution_name,state,control,hbcu,n_applied,n_admitted,n_enrolled
217819,College of Charleston,SC,Public,0,26683,19212,2637
139250,College of Coastal Georgia,GA,Public,0,2548,2510,714
217934,Columbia College,SC,Private not-for-profit,0,2163,2072,204
217925,Columbia International University,SC,Private not-for-profit,0,372,363,116
139366,Columbus State University,GA,Public,0,3550,3523,1083
237330,Concord University,WV,Public,0,2376,2130,443
217961,Converse University,SC,Private not-for-profit,0,2628,1682,225
139393,Covenant College,GA,Private not-for-profit,0,751,614,246
219949,Cumberland University,TN,Private not-for-profit,0,2788,1868,673
198385,Davidson College,NC,Private not-for-profit,0,7347,1064,519
237358,Davis & Elkins College,WV,Private not-for-profit,0,929,541,237
175616,Delta State University,MS,Public,0,1242,1238,218
482459,DeVry University-Florida,FL,Private for-profit,0,1,1,1
482468,DeVry University-Georgia,GA,Private for-profit,0,16,13,12
482653,DeVry University-Virginia,VA,Private for-profit,0,1,1,1
158802,Dillard University,LA,Private not-for-profit,1,8065,3267,248
198419,Duke University,NC,Private not-for-profit,0,46365,3145,1742
198464,East Carolina University,NC,Public,0,22289,20073,3941
220075,East Tennessee State University,TN,Public,0,9903,8622,2141
156620,Eastern Kentucky University,KY,Public,0,17082,13340,2782
232043,Eastern Mennonite University,VA,Private not-for-profit,0,1179,1176,187
446233,Ecclesia College,AR,Private not-for-profit,0,120,57,33
133492,Eckerd College,FL,Private not-for-profit,0,4664,3670,537
248934,ECPI University,VA,Private for-profit,0,4099,3398,1105
133526,Edward Waters University,FL,Private not-for-profit,1,9805,8316,316
198507,Elizabeth City State University,NC,Public,1,5360,3778,347
198516,Elon University,NC,Private not-for-profit,0,18791,12649,1677
133553,Embry-Riddle Aeronautical University-Daytona Beach,FL,Private not-for-profit,0,10286,6818,1931
426314,Embry-Riddle Aeronautical University-Worldwide,FL,Private not-for-profit,0,2047,1264,678
139630,Emmanuel University,GA,Private not-for-profit,0,461,246,204
232025,Emory & Henry University,VA,Private not-for-profit,0,2349,2262,339
139658,Emory University,GA,Private not-for-profit,0,31929,3543,1426
217998,Erskine College,SC,Private not-for-profit,0,1037,628,295
385619,Everglades University,FL,Private not-for-profit,0,804,695,388
237367,Fairmont State University,WV,Public,0,1979,1964,673
101189,Faulkner University,AL,Private not-for-profit,0,1786,1181,240
198543,Fayetteville State University,NC,Public,1,5043,4029,807
232089,Ferrum College,VA,Private not-for-profit,0,1483,1483,242
220181,Fisk University,TN,Private not-for-profit,1,7982,4622,320
133711,Flagler College,FL,Private not-for-profit,0,5509,4302,655
496681,Florida Academy of Nursing,FL,Private for-profit,0,0,,
133650,Florida Agricultural and Mechanical University,FL,Public,1,22713,4797,1391
133669,Florida Atlantic University,FL,Public,0,27612,20279,4417
133809,Florida College,FL,Private not-for-profit,0,307,204,196
433660,Florida Gulf Coast University,FL,Public,0,16050,12318,2776
133881,Florida Institute of Technology,FL,Private not-for-profit,0,15205,9507,882
